Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,City,Tags,place_id
Travel Agents,1 A SENIRA TRAVELS AND TOURS,"NO. 405 OLD KOTTAWA ROAD,UDAHAMULLA,NUGEGODA",Unrated,Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat,Nugegoda,tour-operator travel-agents,1
Restaurants,10 10 KRUA THAI,"NO.446,PANNIPITIYA ROAD, PELAWATTA.",A,Colombo,Colombo,Colombo Divisional Secretariat,Pelawatta.,asian-cuisine restaurants,2
Restaurants,168 SEAFOOD PALACE,"NO. 08, SEAVIEW AVENUE, COLOMBO 03",B,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,restaurants,3
Restaurants,169 RESTURANT,"NEW ROAD,NEAR ECONOMIC CENTER,DAMBULLA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,Dambulla,restaurants,4
Spice Gardens,27 OLD VILLAGE SPICE & HERBLE GARDEN.,"KOHOLANWELA,MADAWALA,ULPOTHA,MATALE.",Unrated,Matale,Dambulla Pradeshiya Sabha,Pallepola Divisional Secretariat,Matale.,garden spice-gardens,5
Travel Agents,361 DEGREES (PVT) LTD,"NO.41/30, DM COLOAMBAGE MAWATHA, COLOMBO 05",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,6
Restaurants,41 SUGAR,"NO. 41 1/2, MAITLAND CRESCENT, COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,Colombo 07.,restaurants,7
Travel Agents,8D SRILANKA,"86/8/1 CAPT. VIPULA SENEVIRATNE MW, THALWATTE, KANDY",Unrated,Kandy,Kundasle,Kundasale Divisional Secretariat,Kandy,tour-operator travel-agents,8
Spice Gardens,96 DELIGHT SPICE GARDEN,"12 KADE, 30TH MILE POST, NALANDA, MATALE",Unrated,Matale,Matale,Matale Divisional Secretariat,Matale,garden spice-gardens,9
Travel Agents,A B TRAVELS PVT LTD,"93 ALLAN AVENUE,DEHIWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dehiwala,tour-operator travel-agents,10
Travel Agents,A BAUR & CO. (TRAVEL) LTD,"NO. 05, UPPER CHATHAM STREET, COLOMBO 01",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,11
Travel Agents,A J TRAVEL,"110, NEW GALLE ROAD, MORATUWA",Unrated,Colombo,Moratuwa,Moratuwa Divisional Secretariat,Moratuwa,tour-operator travel-agents,12
Tourist Shops,A.M.A CAREEM JEWELLERS,"THE BEACH,NEGOMBO.",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo.,tourist-shops,13
Tourist Shops,A.M.A.CAREEM JEWELLERS,"BROWNS BEACH HOTEL,NEGOMBO",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo,tourist-shops,14
Tourist Shops,A.M.A.CAREEM JEWELLERS,"BROWNS BEACH HOTEL,NEGOMBO.",Unrated,Gampaha,Negombo,Negombo Divisional Secretariat,Negombo.,tourist-shops,15
Travel Agents,A.Y.TRAVEL'S & TOURS,"46 B, 3/1,SYMOND ROAD, MARADANA, COLOMBO 10.",Unrated,Colombo,Colombo,Colombo West,Colombo 10.,tour-operator travel-agents,16
Travel Agents,A1 TRAVELS (PVT) LTD,"NO. 70/1/1, GALLE ROAD, DEHIWALA",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Dehiwala,tour-operator travel-agents,17
Travel Agents,A4 TOURS,"NO.636,COLOMBO ROAD,LIYANAGEMULLA,SEEDUWA.",Unrated,Gampaha,Katunayake-Seeduwa,Katana Divisional Secretariat,Seeduwa.,tour-operator travel-agents,18
Travel Agents,AALAM INTERNATIONAL TOURS AND TRAVELS,"10/1,ARTHURS PLACE,COLOMBO 04.",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo 04.,tour-operator travel-agents,19
Travel Agents,AATHIKA HAJ TRAVELS,"NO.18/1, MATALE ROAD, KATUGASTOTA, KANDY",Unrated,Kandy,Kandy,Kandy Divisional Secretariat,Kandy,tour-operator travel-agents,20
Travel Agents,ABANS TOURS (PVT)LTD,"498, GALLE ROAD, COLOMBO 03",Unrated,Colombo,Colombo,Colombo Divisional Secretariat,Colombo,tour-operator travel-agents,21
Restaurants,ABBAS RESTAURANT,"WAULAGODA, HIKKADUWA",A,Galle,Haldummulla Pradeshiya Sabha,Hikkaduwa Divisional Secretariat,Hikkaduwa,restaurant restaurants,22
Travel Agents,ABDULLAH TRAVELS & TOURS PVT LTD,"NO.28/1,KAHAWATTE,AMBATENNA.",Unrated,Ratnapura,Ratnapura,Ratmalana Divisional Secretariat,Ambatenna.,tour-operator travel-agents,23
